file_name,corpus_origin,total_words,postural_contortion_raw_count,postural_contortion_density_10k,apparatus_pole_raw_count,apparatus_pole_density_10k,subaltern_tribal_raw_count,subaltern_tribal_density_10k,poison_necromancy_raw_count,poison_necromancy_density_10k,sorcery_magic_raw_count,sorcery_magic_density_10k,espionage_subversion_raw_count,espionage_subversion_density_10k,climbing_leaping_raw_count,climbing_leaping_density_10k,caravan_trade_transit_raw_count,caravan_trade_transit_density_10k
apsulbcu.htm,GRETIL,37306,0,0.0,92,24.66,0,0.0,86,23.05,33,8.85,22,5.9,0,0.0,15,4.02
mbhx_34.htm,GRETIL,22639,0,0.0,0,0.0,0,0.0,1,0.44,0,0.0,4,1.77,0,0.0,3,1.33
bsu055_u.htm,GRETIL,872,0,0.0,0,0.0,0,0.0,3,34.4,1,11.47,0,0.0,0,0.0,0,0.0
bhp_08u.htm,GRETIL,11686,15,12.84,10,8.56,3,2.57,51,43.64,29,24.82,22,18.83,0,0.0,1,0.86
nidde2ou.htm,GRETIL,13254,6,4.53,5,3.77,0,0.0,5,3.77,0,0.0,34,25.65,0,0.0,5,3.77
bsu010_u.htm,GRETIL,822,0,0.0,2,24.33,0,0.0,1,12.17,0,0.0,7,85.16,0,0.0,0,0.0
kvrtrsuu.htm,GRETIL,10530,6,5.7,16,15.19,0,0.0,64,60.78,2,1.9,54,51.28,0,0.0,4,3.8
astavgau.htm,GRETIL,5770,5,8.67,4,6.93,0,0.0,26,45.06,6,10.4,7,12.13,0,0.0,1,1.73
sa_dignAga-yogAvatAra.htm,GRETIL,681,0,0.0,0,0.0,0,0.0,1,14.68,0,0.0,0,0.0,0,0.0,0,0.0
sa_bANa-harSacarita.htm,GRETIL,29745,35,11.77,87,29.25,5,1.68,175,58.83,26,8.74,131,44.04,2,0.67,50,16.81
sa_asaGga-zarIrArthagAthA.htm,GRETIL,2155,1,4.64,0,0.0,0,0.0,5,23.2,0,0.0,5,23.2,0,0.0,3,13.92
kramstou.htm,GRETIL,949,0,0.0,0,0.0,0,0.0,5,52.69,0,0.0,0,0.0,0,0.0,2,21.07
asabhs_u.htm,GRETIL,18213,4,2.2,4,2.2,0,0.0,84,46.12,4,2.2,58,31.85,0,0.0,121,66.44
b07c085.htm,GRETIL,216,0,0.0,0,0.0,0,0.0,1,46.3,0,0.0,3,138.89,0,0.0,0,0.0
iskar_u.htm,GRETIL,1368,0,0.0,1,7.31,1,7.31,11,80.41,0,0.0,2,14.62,0,0.0,0,0.0
